,Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
2,8467,0,HONDA,FIT,Hatchback,No,Petrol,1.3,200000 ,4.0,Variator,Front,Right-hand drive,Black,2,18
3,3607,862,FORD,Escape,Jeep,Yes,Hybrid,2.5,168966 ,4.0,Automatic,4x4,Left wheel,White,0,13
4,11726,446,HONDA,FIT,Hatchback,Yes,Petrol,1.3,91901 ,4.0,Automatic,Front,Left wheel,Silver,4,10
5,39493,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,160931 ,4.0,Automatic,Front,Left wheel,White,4,8
6,1803,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,258909 ,4.0,Automatic,Front,Left wheel,White,12,14
7,549,751,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,216118 ,4.0,Automatic,Front,Left wheel,Grey,12,11
8,1098,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,398069 ,4.0,Automatic,Front,Left wheel,Black,12,10
15,549,1079,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,74146 ,4.0,Automatic,Front,Left wheel,White,12,6
16,7683,810,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,121840 ,4.0,Automatic,Front,Left wheel,Blue,12,8
17,28382,810,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,54317 ,4.0,Automatic,Front,Left wheel,White,4,8
20,18826,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,112645 ,4.0,Automatic,Front,Left wheel,Silver,4,12
21,20698,586,TOYOTA,Prius,Sedan,Yes,Plug-in Hybrid,1.8,187000 ,4.0,Automatic,Front,Left wheel,White,12,12
22,17562,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,39709 ,4.0,Automatic,Front,Left wheel,Black,12,7
25,20385,0,MERCEDES-BENZ,E 220,Sedan,Yes,Diesel,2.2,210000 ,4.0,Tiptronic,Rear,Left wheel,Black,8,18
27,30,0,TOYOTA,Prius,Sedan,No,Hybrid,1.5,169000 ,4.0,Automatic,Front,Left wheel,White,8,16
28,14454,583,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,158787 ,4.0,Automatic,Front,Left wheel,Silver,4,13
35,23235,707,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,162000 ,4.0,Automatic,Front,Left wheel,Grey,4,13
37,7527,1486,HONDA,FIT,Hatchback,No,Hybrid,1.3,158000 ,4.0,Automatic,Front,Right-hand drive,Black,4,14
38,19121,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,103490 ,4.0,Automatic,Front,Left wheel,Silver,4,12
40,24462,751,TOYOTA,Camry,Sedan,Yes,Petrol,2.4,203200 ,4.0,Automatic,Front,Left wheel,Blue,4,11
42,20165,650,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.4,11200 ,4.0,Tiptronic,Front,Left wheel,Black,8,8
43,21326,382,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,141000 ,4.0,Tiptronic,Front,Left wheel,White,12,10
46,15681,503,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,128000 ,4.0,Variator,Front,Left wheel,Sky blue,8,12
48,12544,0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,141500 ,4.0,Automatic,Front,Right-hand drive,Black,8,12
49,17249,0,FORD,Escape Hybrid,Jeep,No,Hybrid,2.3,147000 ,4.0,Variator,4x4,Left wheel,White,8,16
50,34889,891,HONDA,Civic,Sedan,Yes,Petrol,2.0,87768 ,4.0,Automatic,Front,Left wheel,Blue,4,8
52,14583,0,RENAULT,Megane 1.5CDI,Sedan,No,Diesel,1.5,132542 ,4.0,Manual,Front,Left wheel,White,10,16
53,392,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,1600 ,4.0,Automatic,Rear,Left wheel,Black,12,7
